PairHMM TKF92 with independent site classes over emissions
  - Number of site classes for substitution model: 1
  - Loss function: joint
  - Normalizing losses by: desc_len

2: model init

3: main training loop
New best test loss at epoch 332: 5.527985572814941
New best test loss at epoch 333: 5.527867794036865
New best test loss at epoch 334: 5.527750492095947
New best test loss at epoch 335: 5.527634143829346
New best test loss at epoch 336: 5.527518272399902
New best test loss at epoch 337: 5.527402877807617
New best test loss at epoch 338: 5.527291774749756
New best test loss at epoch 339: 5.527176380157471
New best test loss at epoch 340: 5.527067184448242
New best test loss at epoch 341: 5.5269551277160645
New best test loss at epoch 342: 5.526846408843994
New best test loss at epoch 343: 5.526736259460449
New best test loss at epoch 344: 5.52662992477417
New best test loss at epoch 345: 5.526523113250732
New best test loss at epoch 346: 5.5264177322387695
New best test loss at epoch 347: 5.526313304901123
New best test loss at epoch 348: 5.52620792388916
New best test loss at epoch 349: 5.526105880737305
New best test loss at epoch 350: 5.526004314422607
New best test loss at epoch 351: 5.525903701782227
New best test loss at epoch 352: 5.525801658630371
New best test loss at epoch 353: 5.525702953338623
New best test loss at epoch 354: 5.525603294372559
New best test loss at epoch 355: 5.525506973266602
New best test loss at epoch 356: 5.525410175323486
New best test loss at epoch 357: 5.525313377380371
New best test loss at epoch 358: 5.525218486785889
New best test loss at epoch 359: 5.525125026702881
New best test loss at epoch 360: 5.525030612945557
New best test loss at epoch 361: 5.524938583374023
New best test loss at epoch 362: 5.524844646453857
New best test loss at epoch 363: 5.524754047393799
New best test loss at epoch 364: 5.524663925170898
New best test loss at epoch 365: 5.5245747566223145
New best test loss at epoch 366: 5.524486064910889
New best test loss at epoch 367: 5.524397850036621
New best test loss at epoch 368: 5.52431058883667
New best test loss at epoch 369: 5.524225234985352
New best test loss at epoch 370: 5.5241379737854
New best test loss at epoch 371: 5.524054050445557
New best test loss at epoch 372: 5.523969650268555
New best test loss at epoch 373: 5.523886680603027
New best test loss at epoch 374: 5.523802280426025
New best test loss at epoch 375: 5.523719310760498
New best test loss at epoch 376: 5.523636341094971
New best test loss at epoch 377: 5.523557662963867
New best test loss at epoch 378: 5.523477077484131
New best test loss at epoch 379: 5.523396968841553
New best test loss at epoch 380: 5.523316860198975
New best test loss at epoch 381: 5.523240566253662
New best test loss at epoch 382: 5.52316427230835
New best test loss at epoch 383: 5.523085594177246
New best test loss at epoch 384: 5.523009777069092
New best test loss at epoch 385: 5.522933006286621
New best test loss at epoch 386: 5.5228590965271
New best test loss at epoch 387: 5.52278470993042
New best test loss at epoch 388: 5.522711753845215
New best test loss at epoch 389: 5.52263879776001
New best test loss at epoch 390: 5.522564888000488
New best test loss at epoch 391: 5.522493839263916
New best test loss at epoch 392: 5.522423267364502
New best test loss at epoch 393: 5.522351264953613
New best test loss at epoch 394: 5.522282123565674
New best test loss at epoch 395: 5.52221155166626
New best test loss at epoch 396: 5.5221428871154785
New best test loss at epoch 397: 5.522074222564697
New best test loss at epoch 398: 5.5220046043396
New best test loss at epoch 399: 5.521937847137451
New best test loss at epoch 400: 5.521871566772461
New best test loss at epoch 401: 5.521805763244629
New best test loss at epoch 402: 5.521739482879639
New best test loss at epoch 403: 5.5216755867004395
New best test loss at epoch 404: 5.521609783172607
New best test loss at epoch 405: 5.521546840667725
New best test loss at epoch 406: 5.521482467651367
New best test loss at epoch 407: 5.521420478820801
New best test loss at epoch 408: 5.52135705947876
New best test loss at epoch 409: 5.521295070648193
New best test loss at epoch 410: 5.521233081817627
New best test loss at epoch 411: 5.521172046661377
New best test loss at epoch 412: 5.521111965179443
New best test loss at epoch 413: 5.521050930023193
New best test loss at epoch 414: 5.520992755889893
New best test loss at epoch 415: 5.520931720733643
New best test loss at epoch 416: 5.520874500274658
New best test loss at epoch 417: 5.520815849304199
New best test loss at epoch 418: 5.520758628845215
New best test loss at epoch 419: 5.520700931549072
New best test loss at epoch 420: 5.520644187927246
New best test loss at epoch 421: 5.52058744430542
New best test loss at epoch 422: 5.520531177520752
New best test loss at epoch 423: 5.5204758644104
New best test loss at epoch 424: 5.520420551300049
New best test loss at epoch 425: 5.520364761352539
New best test loss at epoch 426: 5.520310878753662
New best test loss at epoch 427: 5.52025842666626
New best test loss at epoch 428: 5.520204067230225
New best test loss at epoch 429: 5.520150184631348
New best test loss at epoch 430: 5.520097732543945
New best test loss at epoch 431: 5.520045757293701
New best test loss at epoch 432: 5.519993782043457
New best test loss at epoch 433: 5.519942283630371
New best test loss at epoch 434: 5.519891262054443
New best test loss at epoch 435: 5.519840717315674
New best test loss at epoch 436: 5.519791126251221
New best test loss at epoch 437: 5.519742965698242
New best test loss at epoch 438: 5.5196919441223145
New best test loss at epoch 439: 5.5196428298950195
New best test loss at epoch 440: 5.519594669342041
New best test loss at epoch 441: 5.519545555114746
New best test loss at epoch 442: 5.519497871398926
New best test loss at epoch 443: 5.519449710845947
New best test loss at epoch 444: 5.519402980804443
New best test loss at epoch 445: 5.519354820251465
New best test loss at epoch 446: 5.519308567047119
New best test loss at epoch 447: 5.51926326751709
New best test loss at epoch 448: 5.519216060638428
New best test loss at epoch 449: 5.519171714782715
New best test loss at epoch 450: 5.5191264152526855
New best test loss at epoch 451: 5.519082546234131
New best test loss at epoch 452: 5.519038200378418
New best test loss at epoch 453: 5.518994331359863
New best test loss at epoch 454: 5.518949508666992
New best test loss at epoch 455: 5.518906116485596
New best test loss at epoch 456: 5.518863201141357
New best test loss at epoch 457: 5.518818378448486
New best test loss at epoch 458: 5.5187764167785645
New best test loss at epoch 459: 5.518733501434326
New best test loss at epoch 460: 5.518693447113037
New best test loss at epoch 461: 5.518651008605957
New best test loss at epoch 462: 5.518609523773193
New best test loss at epoch 463: 5.51856803894043
New best test loss at epoch 464: 5.518528461456299
New best test loss at epoch 465: 5.518487453460693
New best test loss at epoch 466: 5.518448352813721
New best test loss at epoch 467: 5.518407344818115
New best test loss at epoch 468: 5.518367290496826
New best test loss at epoch 469: 5.5183281898498535
New best test loss at epoch 470: 5.518289566040039
New best test loss at epoch 471: 5.518250465393066
New best test loss at epoch 472: 5.518212795257568
New best test loss at epoch 473: 5.518173694610596
New best test loss at epoch 474: 5.5181355476379395
New best test loss at epoch 475: 5.518095970153809
New best test loss at epoch 476: 5.518060207366943
New best test loss at epoch 477: 5.518023490905762
New best test loss at epoch 478: 5.517985820770264
New best test loss at epoch 479: 5.517949104309082
New best test loss at epoch 480: 5.517913341522217
New best test loss at epoch 481: 5.51787805557251
New best test loss at epoch 482: 5.5178422927856445
New best test loss at epoch 483: 5.517805099487305
New best test loss at epoch 484: 5.517770290374756
New best test loss at epoch 485: 5.517735004425049
New best test loss at epoch 486: 5.517700672149658
New best test loss at epoch 487: 5.517665386199951
New best test loss at epoch 488: 5.517630577087402
New best test loss at epoch 489: 5.5175957679748535
New best test loss at epoch 490: 5.517562389373779
New best test loss at epoch 491: 5.517528057098389
New best test loss at epoch 492: 5.517495632171631
New best test loss at epoch 493: 5.517462730407715
New best test loss at epoch 494: 5.517428874969482
New best test loss at epoch 495: 5.517395973205566
New best test loss at epoch 496: 5.517362594604492
New best test loss at epoch 497: 5.517329692840576
New best test loss at epoch 498: 5.517298221588135
New best test loss at epoch 499: 5.517266273498535
New best test loss at epoch 500: 5.517233848571777
New best test loss at epoch 501: 5.517203330993652
New best test loss at epoch 502: 5.517172813415527
New best test loss at epoch 503: 5.5171403884887695
New best test loss at epoch 504: 5.517110824584961
New best test loss at epoch 505: 5.517077922821045
New best test loss at epoch 506: 5.5170488357543945
New best test loss at epoch 507: 5.5170183181762695
New best test loss at epoch 508: 5.516985893249512
New best test loss at epoch 509: 5.516958236694336
New best test loss at epoch 510: 5.516928672790527
New best test loss at epoch 511: 5.516898155212402
New best test loss at epoch 512: 5.516869068145752
New best test loss at epoch 513: 5.516839981079102
New best test loss at epoch 514: 5.516810894012451
New best test loss at epoch 515: 5.516781806945801
New best test loss at epoch 516: 5.516753196716309
New best test loss at epoch 517: 5.516725063323975
New best test loss at epoch 518: 5.516697883605957
New best test loss at epoch 519: 5.516668796539307
New best test loss at epoch 520: 5.516641139984131
New best test loss at epoch 521: 5.516612529754639
New best test loss at epoch 522: 5.516584396362305
New best test loss at epoch 523: 5.516557216644287
New best test loss at epoch 524: 5.516530513763428
New best test loss at epoch 525: 5.516504764556885
New best test loss at epoch 526: 5.516479015350342
New best test loss at epoch 527: 5.516451358795166
New best test loss at epoch 528: 5.516424179077148
New best test loss at epoch 529: 5.5163984298706055
New best test loss at epoch 530: 5.516371250152588
New best test loss at epoch 531: 5.5163469314575195
New best test loss at epoch 532: 5.516319751739502
New best test loss at epoch 533: 5.516294956207275
New best test loss at epoch 534: 5.516269207000732
New best test loss at epoch 535: 5.516244411468506
New best test loss at epoch 536: 5.516219139099121
New best test loss at epoch 537: 5.516195297241211
New best test loss at epoch 538: 5.51616907119751
New best test loss at epoch 539: 5.516144752502441
New best test loss at epoch 540: 5.5161213874816895
New best test loss at epoch 541: 5.5160956382751465
New best test loss at epoch 542: 5.516070365905762
New best test loss at epoch 543: 5.516046047210693
New best test loss at epoch 544: 5.516022205352783
New best test loss at epoch 545: 5.515999794006348
New best test loss at epoch 546: 5.515974998474121
New best test loss at epoch 547: 5.515951156616211
New best test loss at epoch 548: 5.515928268432617
New best test loss at epoch 549: 5.515904903411865
New best test loss at epoch 550: 5.515881061553955
New best test loss at epoch 551: 5.5158586502075195
New best test loss at epoch 552: 5.515835762023926
New best test loss at epoch 553: 5.515813827514648
New best test loss at epoch 554: 5.515790939331055
New best test loss at epoch 555: 5.515768527984619
New best test loss at epoch 556: 5.515745162963867
New best test loss at epoch 557: 5.51572322845459
New best test loss at epoch 558: 5.515701770782471
New best test loss at epoch 559: 5.515679359436035
New best test loss at epoch 560: 5.515657424926758
New best test loss at epoch 561: 5.515635967254639
New best test loss at epoch 562: 5.5156145095825195
New best test loss at epoch 563: 5.515594005584717
New best test loss at epoch 564: 5.5155720710754395
New best test loss at epoch 565: 5.515550136566162
New best test loss at epoch 566: 5.515530109405518
New best test loss at epoch 567: 5.51550817489624
New best test loss at epoch 568: 5.515488147735596
New best test loss at epoch 569: 5.515468120574951
New best test loss at epoch 570: 5.515446662902832
New best test loss at epoch 571: 5.515427589416504
New best test loss at epoch 572: 5.515405654907227
New best test loss at epoch 573: 5.515385627746582
New best test loss at epoch 574: 5.515366077423096
New best test loss at epoch 575: 5.515346050262451
New best test loss at epoch 576: 5.515326023101807
New best test loss at epoch 577: 5.5153069496154785
New best test loss at epoch 578: 5.515286922454834
New best test loss at epoch 579: 5.515267848968506
New best test loss at epoch 580: 5.5152482986450195
New best test loss at epoch 581: 5.515227794647217
New best test loss at epoch 582: 5.515210151672363
New best test loss at epoch 583: 5.515191555023193
New best test loss at epoch 584: 5.515171527862549
New best test loss at epoch 585: 5.515152454376221
New best test loss at epoch 586: 5.515134811401367
New best test loss at epoch 587: 5.5151143074035645
New best test loss at epoch 588: 5.515096187591553
New best test loss at epoch 589: 5.515078544616699
New best test loss at epoch 590: 5.515059471130371
New best test loss at epoch 591: 5.515041828155518
New best test loss at epoch 592: 5.515024662017822
New best test loss at epoch 593: 5.515006065368652
New best test loss at epoch 594: 5.514988422393799
New best test loss at epoch 595: 5.514970302581787
New best test loss at epoch 596: 5.514950752258301
New best test loss at epoch 597: 5.514935493469238
New best test loss at epoch 598: 5.514917850494385
New best test loss at epoch 599: 5.514899253845215
New best test loss at epoch 600: 5.514883041381836
New best test loss at epoch 601: 5.514866352081299
New best test loss at epoch 602: 5.514848232269287
New best test loss at epoch 603: 5.514832019805908
